Step,BLOB_EnsembleEnsemble_BLOB_maxsat60_20250514_212645 - best_value,CSV_VBLL_maxsat60_dense_precision_multirank_20250514_202254 - best_value,DeepEnsemble_maxsat60_std_20250514_201731 - best_value,DeepEnsemble_maxsat60_std_20250514_182748 - best_value,CSV_VBLL_maxsat60_dense_precision_multirank_20250514_182341 - best_value,maxsat60_mlp_20250514_171313 - best_value,maxsat60_mlp_20250514_161204 - best_value,DeepEnsemble_maxsat60_std_20250514_150405 - best_value,CSV_VBLL_maxsat60_dense_precision_multirank_20250514_144328 - best_value,BLOB_EnsembleEnsemble_BLOB_maxsat60_20250514_122241 - best_value,CSV_BLOB_maxsat60_20250514_104547 - best_value,CSV_BLOB_maxsat60_20250514_215952 - best_value,CSV_VBLL_maxsat60_dense_precision_multirank_20250514_215952 - best_value
170,,,-192.3918152,-192.3918152,,,,-192.3918152,,-189.1309509,-189.1309509,,
171,,,-192.3918152,-192.3918152,,,,-192.3918152,,,-189.1309509,,
172,,,-192.3918152,-192.3918152,,,,-192.3918152,,-189.1309509,-189.1309509,,
173,,,-192.3918152,,,,,-192.3918152,,,-189.1309509,,
174,,,-192.3918152,,,,,-192.3918152,,-189.1309509,-189.1309509,,
175,,,-192.3918152,,,,,-192.3918152,,,-189.1309509,,
176,,,-192.3918152,,,,,-192.3918152,,-189.1309509,-189.1309509,,
177,,,-192.3918152,,,,,-192.3918152,,,-189.1309509,,
178,,,-192.3918152,,,,,-192.3918152,,-189.1309509,-189.1309509,,
179,,,-192.3918152,,,,,-192.3918152,,,-189.1309509,,
180,,,-192.3918152,,,,,-192.3918152,,-189.1309509,-189.1309509,,
181,,,-192.3918152,,,,,-192.3918152,,,-189.1309509,,
182,,,-192.3918152,,,,,-192.3918152,,-189.1309509,-189.1309509,,
183,,,-192.3918152,,,,,-192.3918152,,,-189.1309509,,
184,,,-192.3918152,,,,,-192.3918152,,-189.1309509,-189.1309509,,
185,,,-192.3918152,,,,,-192.3918152,,,-189.1309509,,
186,,,-192.3918152,,,,,-192.3918152,,-192.39182,-189.1309509,,
187,,,-192.3918152,,,,,-192.3918152,,,-189.1309509,,
188,,,-192.3918152,,,,,-192.3918152,,-192.39182,-189.1309509,,
189,,,-192.3918152,,,,,-192.3918152,,,-189.1309509,,
190,,,-192.3918152,,,,,-192.3918152,,-192.39182,-189.1309509,,
191,,,-192.3918152,,,,,-192.3918152,,,-189.1309509,,
192,,,-192.3918152,,,,,-192.3918152,,-192.39182,-189.1309509,,
193,,,-192.3918152,,,,,-192.3918152,,,-189.1309509,,
194,,,-192.3918152,,,,,-192.3918152,,-192.39182,-189.1309509,,
195,,,-192.3918152,,,,,-192.3918152,,,-189.1309509,,
196,,,-192.3918152,,,,,-192.3918152,,-192.39182,-189.1309509,,
197,,,-192.3918152,,,,,-192.3918152,,,-189.1309509,,
198,,,,,,,,-192.3918152,,-192.39182,-189.1309509,,
199,,,,,,,,-192.3918152,,,-189.1309509,,
200,,,,,,,,-192.3918152,,-192.39182,-189.1309509,,
201,,,,,,,,-192.3918152,,,-189.1309509,,
202,,,,,,,,-192.3918152,,-192.39182,-189.1309509,,
203,,,,,,,,-192.3918152,,,-189.1309509,,
204,,,,,,,,-192.3918152,,-192.39182,-189.1309509,,
205,,,,,,,,-192.3918152,,,-189.1309509,,
206,,,,,,,,-192.3918152,,-192.39182,-189.1309509,,
207,,,,,,,,-192.3918152,,,-189.1309509,,
208,,,,,,,,-192.3918152,,-192.39182,-189.1309509,,
209,,,,,,,,-192.3918152,,,-189.1309509,,
210,,,,,,,,-192.3918152,,-192.39182,-189.1309509,,
211,,,,,,,,-192.3918152,,,-189.1309509,,
212,,,,,,,,-192.3918152,,-192.39182,-189.1309509,,
213,,,,,,,,-192.3918152,,,-189.1309509,,
214,,,,,,,,-192.3918152,,-192.39182,-189.1309509,,
215,,,,,,,,-192.3918152,,,-189.1309509,,
216,,,,,,,,-192.3918152,,,-189.1309509,,
217,,,,,,,,-192.3918152,,,-189.1309509,,
218,,,,,,,,-192.3918152,,,-189.1309509,,
219,,,,,,,,-192.3918152,,,-189.1309509,,
220,,,,,,,,,,,,,
222,,,,,,,,,,,,,
224,,,,,,,,,,,,,
226,,,,,,,,,,,,,
228,,,,,,,,,,,,,
230,,,,,,,,,,,,,
232,,,,,,,,,,,,,
234,,,,,,,,,,,,,
236,,,,,,,,,,,,,
238,,,,,,,,,,,,,
240,,,,,,,,,,,,,
242,,,,,,,,,,,,,
244,,,,,,,,,,,,,
246,,,,,,,,,,,,,
248,,,,,,,,,,,,,
250,,,,,,,,,,,,,
252,,,,,,,,,,,,,
254,,,,,,,,,,,,,
256,,,,,,,,,,,,,
258,,,,,,,,,,,,,
260,,,,,,,,,,,,,
262,,,,,,,,,,,,,
264,,,,,,,,,,,,,
266,,,,,,,,,,,,,
268,,,,,,,,,,,,,
270,,,,,,,,,,,,,
272,,,,,,,,,,,,,
274,,,,,,,,,,,,,
276,,,,,,,,,,,,,
278,,,,,,,,,,,,,
280,,,,,,,,,,,,,
282,,,,,,,,,,,,,
284,,,,,,,,,,,,,
286,,,,,,,,,,,,,
288,,,,,,,,,,,,,
290,,,,,,,,,,,,,
292,,,,,,,,,,,,,
294,,,,,,,,,,,,,
296,,,,,,,,,,,,,
298,,,,,,,,,,,,,
300,,,,,,,,,,,,,
302,,,,,,,,,,,,,
304,,,,,,,,,,,,,
306,,,,,,,,,,,,,
308,,,,,,,,,,,,,
310,,,,,,,,,,,,,
312,,,,,,,,,,,,,
314,,,,,,,,,,,,,
316,,,,,,,,,,,,,
318,,,,,,,,,,,,,
320,,,,,,,,,,,,,
322,,,,,,,,,,,,,
324,,,,,,,,,,,,,
326,,,,,,,,,,,,,
328,,,,,,,,,,,,,
330,,,,,,,,,,,,,
332,,,,,,,,,,,,,
334,,,,,,,,,,,,,
336,,,,,,,,,,,,,
338,,,,,,,,,,,,,
340,,,,,,,,,,,,,
342,,,,,,,,,,,,,
344,,,,,,,,,,,,,
346,,,,,,,,,,,,,
348,,,,,,,,,,,,,
350,,,,,,,,,,,,,
352,,,,,,,,,,,,,
354,,,,,,,,,,,,,
356,,,,,,,,,,,,,
358,,,,,,,,,,,,,
360,,,,,,,,,,,,,
362,,,,,,,,,,,,,
364,,,,,,,,,,,,,
366,,,,,,,,,,,,,
368,,,,,,,,,,,,,
370,,,,,,,,,,,,,
372,,,,,,,,,,,,,
374,,,,,,,,,,,,,
376,,,,,,,,,,,,,
378,,,,,,,,,,,,,
380,,,,,,,,,,,,,
382,,,,,,,,,,,,,
384,,,,,,,,,,,,,
386,,,,,,,,,,,,,
388,,,,,,,,,,,,,
390,,,,,,,,,,,,,
392,,,,,,,,,,,,,
394,,,,,,,,,,,,,
396,,,,,,,,,,,,,
398,,,,,,,,,,,,,
400,,,,,,,,,,,,,
402,,,,,,,,,,,,,
404,,,,,,,,,,,,,
406,,,,,,,,,,,,,
408,,,,,,,,,,,,,
410,,,,,,,,,,,,,
412,,,,,,,,,,,,,
414,,,,,,,,,,,,,
416,,,,,,,,,,,,,
418,,,,,,,,,,,,,
420,,,,,,,,,,,,,
422,,,,,,,,,,,,,
424,,,,,,,,,,,,,
426,,,,,,,,,,,,,
428,,,,,,,,,,,,,
430,,,,,,,,,,,,,
432,,,,,,,,,,,,,
434,,,,,,,,,,,,,
436,,,,,,,,,,,,,
438,,,,,,,,,,,,,
